id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
3828,13/01/2010,2010-01-13,Amistoso,Seleção Capixaba,fora,1,1,,Vagner Mancini
3829,16/01/2010,2010-01-16,Campeonato Carioca,Tigres,casa,1,0,,Vagner Mancini
3830,20/01/2010,2010-01-20,Campeonato Carioca,América,fora,2,1,,Vagner Mancini
3831,24/01/2010,2010-01-24,Campeonato Carioca,Botafogo,fora,6,0,,Vagner Mancini
3832,28/01/2010,2010-01-28,Campeonato Carioca,Macaé,casa,4,0,,Vagner Mancini
3833,31/01/2010,2010-01-31,Campeonato Carioca,Friburguense,fora,3,0,,Vagner Mancini
3834,04/02/2010,2010-02-04,Campeonato Carioca,Resende,fora,1,0,,Vagner Mancini
3835,07/02/2010,2010-02-07,Campeonato Carioca,Madureira,casa,2,2,,Vagner Mancini
3836,10/02/2010,2010-02-10,Copa do Brasil,Sousa-PB,fora,2,1,,Vagner Mancini
3837,13/02/2010,2010-02-13,Campeonato Carioca,Fluminense,casa,0,0,,Vagner Mancini
3838,21/02/2010,2010-02-21,Campeonato Carioca,Botafogo,casa,0,2,,Vagner Mancini
3839,25/02/2010,2010-02-25,Copa do Brasil,Sousa-PB,casa,0,0,,Vagner Mancini
3840,28/02/2010,2010-02-28,Campeonato Carioca,Volta Redonda,casa,2,1,,Vagner Mancini
3841,03/03/2010,2010-03-03,Campeonato Carioca,Bangu,fora,2,0,,Vagner Mancini
3842,07/03/2010,2010-03-07,Campeonato Carioca,Boavista,casa,1,0,,Vagner Mancini
3843,14/03/2010,2010-03-14,Campeonato Carioca,Flamengo,fora,0,1,,Vagner Mancini
3844,17/03/2010,2010-03-17,Copa do Brasil,ASA-AL,fora,1,1,,Vagner Mancini
3845,20/03/2010,2010-03-20,Campeonato Carioca,Olaria,fora,0,1,,Vagner Mancini
3846,24/03/2010,2010-03-24,Campeonato Carioca,Americano,casa,2,3,,Vagner Mancini
3847,28/03/2010,2010-03-28,Campeonato Carioca,Fluminense,casa,3,0,,Vagner Mancini
3848,31/03/2010,2010-03-31,Copa do Brasil,ASA-AL,casa,3,1,,Vagner Mancini
