id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
3623,13/01/2013,2013-01-13,Amistoso,Ajax-HOL,casa,1,0,,Gaúcho
3624,19/01/2013,2013-01-19,Campeonato Carioca,Boavista,fora,3,0,,Gaúcho
3625,23/01/2013,2013-01-23,Campeonato Carioca,Macaé,casa,4,2,,Gaúcho
3626,26/01/2013,2013-01-26,Campeonato Carioca,Resende,fora,4,2,,Gaúcho
3627,31/01/2013,2013-01-31,Campeonato Carioca,Flamengo,casa,2,4,,Gaúcho
3628,03/02/2013,2013-02-03,Campeonato Carioca,Bangu,casa,0,1,,Gaúcho
3629,09/02/2013,2013-02-09,Campeonato Carioca,Fluminense,fora,1,1,,Gaúcho
3630,17/02/2013,2013-02-17,Campeonato Carioca,Audax,casa,2,0,,Gaúcho
3631,24/02/2013,2013-02-24,Campeonato Carioca,Duque de Caxias,fora,2,1,,Gaúcho
3632,02/03/2013,2013-03-02,Campeonato Carioca,Fluminense,casa,3,2,,Gaúcho
3633,10/03/2013,2013-03-10,Campeonato Carioca,Botafogo,casa,0,1,,Gaúcho
3634,17/03/2013,2013-03-17,Campeonato Carioca,Volta Redonda,casa,0,1,,Gaúcho
3635,20/03/2013,2013-03-20,Campeonato Carioca,Nova Iguaçu,fora,0,2,,Gaúcho
3636,27/03/2013,2013-03-27,Campeonato Carioca,Olaria,fora,0,0,,Gaúcho
3637,03/04/2013,2013-04-03,Campeonato Carioca,Botafogo,casa,0,3,,Gaúcho
3638,07/04/2013,2013-04-07,Campeonato Carioca,Friburguense,casa,2,1,,Gaúcho
3639,13/04/2013,2013-04-13,Campeonato Carioca,Quissamã,casa,3,1,,Gaúcho
3640,20/04/2013,2013-04-20,Campeonato Carioca,Madureira,fora,0,1,,Gaúcho
3641,11/05/2013,2013-05-11,Amistoso,Tupi-MG,fora,5,1,,Paulo Autuori
3642,18/05/2013,2013-05-18,Amistoso,Figueirense-SC,fora,2,1,,Paulo Autuori
3643,25/05/2013,2013-05-25,Campeonato Brasileiro Serie A,Portuguesa,casa,1,0,,Paulo Autuori
3644,29/05/2013,2013-05-29,Campeonato Brasileiro Serie A,São Paulo,fora,1,5,,Paulo Autuori
3645,01/06/2013,2013-06-01,Campeonato Brasileiro Serie A,Vitória,fora,0,2,,Paulo Autuori
3646,05/06/2013,2013-06-05,Campeonato Brasileiro Serie A,Atlético-MG,casa,2,0,,Paulo Autuori
3647,08/06/2013,2013-06-08,Campeonato Brasileiro Serie A,Bahia,casa,1,1,,Paulo Autuori
3648,07/07/2013,2013-07-07,Campeonato Brasileiro Serie A,Internacional,fora,3,5,,Paulo Autuori
