id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
3685,22/01/2012,2012-01-22,Campeonato Carioca,Americano,casa,2,0,,Cristóvão Borges
3686,29/01/2012,2012-01-29,Campeonato Carioca,Duque de Caxias,fora,3,1,,Cristóvão Borges
3687,01/02/2012,2012-02-01,Campeonato Carioca,Bangu,fora,3,1,,Cristóvão Borges
3688,05/02/2012,2012-02-05,Campeonato Carioca,Friburguense,casa,2,0,,Cristóvão Borges
3689,08/02/2012,2012-02-08,Copa Libertadores,Nacional-URU,casa,1,2,,Cristóvão Borges
3690,12/02/2012,2012-02-12,Campeonato Carioca,Fluminense,casa,2,1,,Cristóvão Borges
3691,15/02/2012,2012-02-15,Campeonato Carioca,Volta Redonda,casa,3,0,,Cristóvão Borges
3692,18/02/2012,2012-02-18,Campeonato Carioca,Boavista,fora,1,0,,Cristóvão Borges
3693,22/02/2012,2012-02-22,Campeonato Carioca,Flamengo,casa,2,1,,Cristóvão Borges
3694,26/02/2012,2012-02-26,Campeonato Carioca,Fluminense,casa,1,3,,Cristóvão Borges
3695,29/02/2012,2012-02-29,Campeonato Carioca,Bonsucesso,casa,2,2,,Cristóvão Borges
3696,03/03/2012,2012-03-03,Campeonato Carioca,Olaria,fora,2,0,,Cristóvão Borges
3697,06/03/2012,2012-03-06,Copa Libertadores,Alianza Lima-PER,casa,3,2,,Cristóvão Borges
3698,11/03/2012,2012-03-11,Campeonato Carioca,Madureira,casa,3,0,,Cristóvão Borges
3699,14/03/2012,2012-03-14,Copa Libertadores,Libertad-PAR,fora,1,1,,Cristóvão Borges
3700,18/03/2012,2012-03-18,Campeonato Carioca,Botafogo,fora,1,3,,Cristóvão Borges
3701,21/03/2012,2012-03-21,Copa Libertadores,Libertad-PAR,casa,2,0,,Cristóvão Borges
3702,25/03/2012,2012-03-25,Campeonato Carioca,Resende,casa,1,1,,Cristóvão Borges
3703,28/03/2012,2012-03-28,Amistoso,Barcelona-EQU,casa,9,1,,Cristóvão Borges
3704,31/03/2012,2012-03-31,Campeonato Carioca,Macaé,fora,4,1,,Cristóvão Borges
3705,03/04/2012,2012-04-03,Copa Libertadores,Alianza Lima-PER,fora,2,1,,Cristóvão Borges
3706,07/04/2012,2012-04-07,Campeonato Carioca,Flamengo,casa,1,2,,Cristóvão Borges
3707,12/04/2012,2012-04-12,Copa Libertadores,Nacional-URU,fora,1,0,,Cristóvão Borges
3708,15/04/2012,2012-04-15,Campeonato Carioca,Nova Iguaçu,fora,3,1,,Cristóvão Borges
3709,22/04/2012,2012-04-22,Campeonato Carioca,Flamengo,fora,3,2,,Cristóvão Borges
3710,29/04/2012,2012-04-29,Campeonato Carioca,Botafogo,fora,1,3,,Cristóvão Borges
3711,02/05/2012,2012-05-02,Copa Libertadores,Lanús-ARG,casa,2,1,,Cristóvão Borges
3712,09/05/2012,2012-05-09,Copa Libertadores,Lanús-ARG,fora,1,2,,Cristóvão Borges
3713,16/05/2012,2012-05-16,Copa Libertadores,Corinthians,casa,0,0,,Cristóvão Borges
3714,20/05/2012,2012-05-20,Campeonato Brasileiro Serie A,Grêmio,casa,2,1,,Cristóvão Borges
3715,23/05/2012,2012-05-23,Copa Libertadores,Corinthians,fora,0,1,,Cristóvão Borges
3716,26/05/2012,2012-05-26,Campeonato Brasileiro Serie A,Portuguesa,fora,1,0,,Cristóvão Borges
3717,06/06/2012,2012-06-06,Campeonato Brasileiro Serie A,Náutico,casa,4,2,,Cristóvão Borges
3718,10/06/2012,2012-06-10,Campeonato Brasileiro Serie A,Bahia,fora,2,1,,Cristóvão Borges
3719,17/06/2012,2012-06-17,Campeonato Brasileiro Serie A,Palmeiras,fora,1,1,,Cristóvão Borges
3720,23/06/2012,2012-06-23,Campeonato Brasileiro Serie A,Cruzeiro,casa,1,3,,Cristóvão Borges
3721,30/06/2012,2012-06-30,Campeonato Brasileiro Serie A,Ponte Preta,casa,3,2,,Cristóvão Borges
3722,08/07/2012,2012-07-08,Campeonato Brasileiro Serie A,Figueirense,fora,1,1,,Cristóvão Borges
3723,15/07/2012,2012-07-15,Campeonato Brasileiro Serie A,Atlético-GO,casa,1,0,,Cristóvão Borges
3724,18/07/2012,2012-07-18,Campeonato Brasileiro Serie A,São Paulo,fora,1,0,,Cristóvão Borges
3725,21/07/2012,2012-07-21,Campeonato Brasileiro Serie A,Santos,casa,2,0,,Cristóvão Borges
3726,25/07/2012,2012-07-25,Campeonato Brasileiro Serie A,Botafogo,casa,1,0,,Cristóvão Borges
3727,28/07/2012,2012-07-28,Campeonato Brasileiro Serie A,Internacional,fora,0,0,,Cristóvão Borges
