id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
3365,31/01/2016,2016-01-31,Campeonato Carioca,Madureira,casa,4,1,,Jorginho
3366,04/02/2016,2016-02-04,Campeonato Carioca,América,fora,3,1,,Jorginho
3367,10/02/2016,2016-02-10,Campeonato Carioca,Volta Redonda,casa,2,0,,Jorginho
3368,14/02/2016,2016-02-14,Campeonato Carioca,Flamengo,casa,1,0,,Jorginho
3369,20/02/2016,2016-02-20,Campeonato Carioca,Tigres,fora,2,0,,Jorginho
3370,25/02/2016,2016-02-25,Campeonato Carioca,Friburguense,casa,2,2,,Jorginho
3371,28/02/2016,2016-02-28,Campeonato Carioca,Botafogo,casa,1,1,,Jorginho
3372,05/03/2016,2016-03-05,Campeonato Carioca,Bonsucesso,fora,3,1,,Jorginho
3373,13/03/2016,2016-03-13,Campeonato Carioca,Bangu,casa,2,0,,Jorginho
3374,19/03/2016,2016-03-19,Campeonato Carioca,Boavista,fora,1,0,,Jorginho
3375,27/03/2016,2016-03-27,Campeonato Carioca,Botafogo,casa,1,0,,Jorginho
3376,30/03/2016,2016-03-30,Campeonato Carioca,Flamengo,fora,1,1,,Jorginho
3377,03/04/2016,2016-04-03,Campeonato Carioca,Volta Redonda,casa,1,1,,Jorginho
3378,09/04/2016,2016-04-09,Campeonato Carioca,Madureira,casa,1,0,,Jorginho
3379,13/04/2016,2016-04-13,Copa do Brasil,Remo,fora,1,0,,Jorginho
3380,17/04/2016,2016-04-17,Campeonato Carioca,Fluminense,fora,1,0,,Jorginho
3381,24/04/2016,2016-04-24,Campeonato Carioca,Flamengo,casa,2,0,,Jorginho
3382,27/04/2016,2016-04-27,Copa do Brasil,Remo,casa,2,1,,Jorginho
3383,01/05/2016,2016-05-01,Campeonato Carioca,Botafogo,fora,1,0,,Jorginho
3384,08/05/2016,2016-05-08,Campeonato Carioca,Botafogo,casa,1,1,,Jorginho
3385,11/05/2016,2016-05-11,Copa do Brasil,CRB,fora,1,0,,Jorginho
3386,14/05/2016,2016-05-14,Campeonato Brasileiro Serie B,Sampaio Corrêa,fora,4,0,,Jorginho
3387,18/05/2016,2016-05-18,Copa do Brasil,CRB,casa,1,1,,Jorginho
3388,21/05/2016,2016-05-21,Campeonato Brasileiro Serie B,Tupi,casa,1,0,,Jorginho
