id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
3999,10/01/2008,2008-01-10,Amistoso,Hamburgo-ALE,fora,1,2,,Romário
4000,12/01/2008,2008-01-12,Amistoso,Seleção dos Emirados Árabes,fora,1,0,,Romário
4001,20/01/2008,2008-01-20,Campeonato Carioca,Madureira,casa,1,2,,Romário
4002,23/01/2008,2008-01-23,Campeonato Carioca,Americano,fora,1,0,,Romário
4003,26/01/2008,2008-01-26,Campeonato Carioca,Mesquita,casa,3,0,,Romário
4004,30/01/2008,2008-01-30,Campeonato Carioca,Resende,fora,5,2,,Romário
4005,02/02/2008,2008-02-02,Campeonato Carioca,Botafogo,casa,2,3,,Romário
4006,06/02/2008,2008-02-06,Campeonato Carioca,Friburguense,casa,2,0,,Romário
4007,10/02/2008,2008-02-10,Campeonato Carioca,Cabofriense,fora,5,1,,Romário
4018,13/02/2008,2008-02-13,Copa do Brasil,Itabaiana-SE,fora,1,0,,Romário
4008,17/02/2008,2008-02-17,Campeonato Carioca,Flamengo,fora,1,2,,Romário
4019,27/02/2008,2008-02-27,Copa do Brasil,Itabaiana-SE,casa,3,2,,Romário
4009,02/03/2008,2008-03-02,Campeonato Carioca,Boavista,fora,4,0,,Romário
4010,08/03/2008,2008-03-08,Campeonato Carioca,Duque de Caxias,casa,2,0,,Romário
4011,13/03/2008,2008-03-13,Campeonato Carioca,Macaé,fora,4,0,,Romário
4012,16/03/2008,2008-03-16,Campeonato Carioca,Cardoso Moreira,casa,4,1,,Romário
4020,20/03/2008,2008-03-20,Copa do Brasil,Bragantino-SP,fora,2,2,,Romário
4013,23/03/2008,2008-03-23,Campeonato Carioca,Fluminense,fora,1,2,,Romário
4014,27/03/2008,2008-03-27,Campeonato Carioca,América,casa,2,0,,Romário
4015,30/03/2008,2008-03-30,Campeonato Carioca,Volta Redonda,fora,1,2,,Romário
4021,03/04/2008,2008-04-03,Copa do Brasil,Bragantino-SP,casa,2,1,,Romário
4016,06/04/2008,2008-04-06,Campeonato Carioca,Flamengo,casa,2,2,,Romário
4017,12/04/2008,2008-04-12,Campeonato Carioca,Fluminense,fora,1,1,,Romário
4022,16/04/2008,2008-04-16,Copa do Brasil,Criciúma-SC,casa,1,0,,Romário
4023,23/04/2008,2008-04-23,Copa do Brasil,Criciúma-SC,fora,2,2,,Romário
4024,07/05/2008,2008-05-07,Copa do Brasil,Corinthians-AL,casa,5,1,,Antônio Lopes
3961,11/05/2008,2008-05-11,Campeonato Brasileiro Serie A,Internacional,fora,0,1,,Antônio Lopes
4025,14/05/2008,2008-05-14,Copa do Brasil,Corinthians-AL,fora,3,1,,Antônio Lopes
3962,17/05/2008,2008-05-17,Campeonato Brasileiro Serie A,Portuguesa,casa,3,1,,Antônio Lopes
4026,21/05/2008,2008-05-21,Copa do Brasil,Sport-PE,fora,0,2,,Antônio Lopes
3963,25/05/2008,2008-05-25,Campeonato Brasileiro Serie A,Botafogo,fora,1,1,,Antônio Lopes
4027,28/05/2008,2008-05-28,Copa do Brasil,Sport-PE,casa,2,0,,Antônio Lopes
3964,31/05/2008,2008-05-31,Campeonato Brasileiro Serie A,Grêmio,casa,2,1,,Antônio Lopes
3965,08/06/2008,2008-06-08,Campeonato Brasileiro Serie A,Cruzeiro,fora,0,1,,Antônio Lopes
3966,14/06/2008,2008-06-14,Campeonato Brasileiro Serie A,Náutico,fora,1,1,,Antônio Lopes
3967,22/06/2008,2008-06-22,Campeonato Brasileiro Serie A,Palmeiras,casa,0,2,,Antônio Lopes
3968,28/06/2008,2008-06-28,Campeonato Brasileiro Serie A,Ipatinga,casa,4,2,,Antônio Lopes
3969,06/07/2008,2008-07-06,Campeonato Brasileiro Serie A,Figueirense,fora,1,2,,Antônio Lopes
3970,10/07/2008,2008-07-10,Campeonato Brasileiro Serie A,Sport,casa,4,0,,Antônio Lopes
3971,13/07/2008,2008-07-13,Campeonato Brasileiro Serie A,Flamengo,fora,1,3,,Antônio Lopes
3972,17/07/2008,2008-07-17,Campeonato Brasileiro Serie A,Goiás,casa,1,1,,Antônio Lopes
3973,20/07/2008,2008-07-20,Campeonato Brasileiro Serie A,Atlético-PR,fora,1,3,,Antônio Lopes
3974,23/07/2008,2008-07-23,Campeonato Brasileiro Serie A,Fluminense,casa,3,3,,Antônio Lopes
3975,27/07/2008,2008-07-27,Campeonato Brasileiro Serie A,Santos,fora,2,5,,Antônio Lopes
3976,31/07/2008,2008-07-31,Campeonato Brasileiro Serie A,Atlético-MG,casa,6,1,,Antônio Lopes
3977,03/08/2008,2008-08-03,Campeonato Brasileiro Serie A,São Paulo,fora,0,4,,Antônio Lopes
3978,06/08/2008,2008-08-06,Campeonato Brasileiro Serie A,Coritiba,casa,0,2,,Antônio Lopes
3979,10/08/2008,2008-08-10,Campeonato Brasileiro Serie A,Vitória,fora,0,5,,Antônio Lopes
4028,13/08/2008,2008-08-13,Copa Sul-Americana,Palmeiras-BRA,casa,3,1,,Antônio Lopes
3980,17/08/2008,2008-08-17,Campeonato Brasileiro Serie A,Internacional,casa,4,0,,Renato Gaúcho
3981,20/08/2008,2008-08-20,Campeonato Brasileiro Serie A,Portuguesa,fora,1,0,,Renato Gaúcho
3982,24/08/2008,2008-08-24,Campeonato Brasileiro Serie A,Botafogo,casa,1,1,,Renato Gaúcho
3983,31/08/2008,2008-08-31,Campeonato Brasileiro Serie A,Grêmio,fora,1,2,,Renato Gaúcho
3984,04/09/2008,2008-09-04,Campeonato Brasileiro Serie A,Cruzeiro,casa,1,3,,Renato Gaúcho
3985,14/09/2008,2008-09-14,Campeonato Brasileiro Serie A,Náutico,casa,1,3,,Renato Gaúcho
4029,17/09/2008,2008-09-17,Copa Sul-Americana,Palmeiras-BRA,fora,0,3,,Renato Gaúcho
3986,21/09/2008,2008-09-21,Campeonato Brasileiro Serie A,Palmeiras,fora,0,2,,Renato Gaúcho
3987,28/09/2008,2008-09-28,Campeonato Brasileiro Serie A,Ipatinga,fora,1,3,,Renato Gaúcho
3988,04/10/2008,2008-10-04,Campeonato Brasileiro Serie A,Figueirense,casa,2,4,,Renato Gaúcho
3989,11/10/2008,2008-10-11,Campeonato Brasileiro Serie A,Sport,fora,2,2,,Renato Gaúcho
3990,19/10/2008,2008-10-19,Campeonato Brasileiro Serie A,Flamengo,casa,0,1,,Renato Gaúcho
3991,25/10/2008,2008-10-25,Campeonato Brasileiro Serie A,Goiás,fora,4,2,,Renato Gaúcho
3992,29/10/2008,2008-10-29,Campeonato Brasileiro Serie A,Atlético-PR,casa,2,2,,Renato Gaúcho
3993,02/11/2008,2008-11-02,Campeonato Brasileiro Serie A,Fluminense,fora,1,0,,Renato Gaúcho
3994,08/11/2008,2008-11-08,Campeonato Brasileiro Serie A,Santos,casa,1,0,,Renato Gaúcho
3995,12/11/2008,2008-11-12,Campeonato Brasileiro Serie A,Atlético-MG,fora,1,4,,Renato Gaúcho
3996,23/11/2008,2008-11-23,Campeonato Brasileiro Serie A,São Paulo,casa,1,2,,Renato Gaúcho
3997,30/11/2008,2008-11-30,Campeonato Brasileiro Serie A,Coritiba,fora,2,0,,Renato Gaúcho
