id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
3753,15/01/2011,2011-01-15,Amistoso,Cerro Porteño-PAR,casa,1,0,,Ricardo Gomes
3754,19/01/2011,2011-01-19,Campeonato Carioca,Resende,casa,0,1,,Ricardo Gomes
3755,23/01/2011,2011-01-23,Campeonato Carioca,Nova Iguaçu,fora,2,3,,Ricardo Gomes
3756,27/01/2011,2011-01-27,Campeonato Carioca,Boavista,fora,1,3,,Ricardo Gomes
3757,30/01/2011,2011-01-30,Campeonato Carioca,Flamengo,casa,1,2,,Ricardo Gomes
3758,03/02/2011,2011-02-03,Campeonato Carioca,Volta Redonda,casa,0,0,,Ricardo Gomes
3759,06/02/2011,2011-02-06,Campeonato Carioca,Americano,casa,3,0,,Ricardo Gomes
3760,12/02/2011,2011-02-12,Campeonato Carioca,América,fora,9,0,,Ricardo Gomes
3761,23/02/2011,2011-02-23,Copa do Brasil,Comercial-MS,fora,6,1,,Ricardo Gomes
3762,04/03/2011,2011-03-04,Campeonato Carioca,Macaé,fora,1,3,,Ricardo Gomes
3763,09/03/2011,2011-03-09,Campeonato Carioca,Duque de Caxias,casa,4,2,,Ricardo Gomes
3764,13/03/2011,2011-03-13,Campeonato Carioca,Madureira,fora,4,2,,Ricardo Gomes
3765,20/03/2011,2011-03-20,Campeonato Carioca,Botafogo,casa,2,0,,Ricardo Gomes
3766,27/03/2011,2011-03-27,Campeonato Carioca,Fluminense,fora,0,0,,Ricardo Gomes
3767,30/03/2011,2011-03-30,Copa do Brasil,ABC-RN,fora,0,0,,Ricardo Gomes
3768,03/04/2011,2011-04-03,Campeonato Carioca,Bangu,casa,4,0,,Ricardo Gomes
3769,06/04/2011,2011-04-06,Copa do Brasil,ABC-RN,casa,2,1,,Ricardo Gomes
3770,09/04/2011,2011-04-09,Campeonato Carioca,Cabofriense,casa,2,1,,Ricardo Gomes
3771,13/04/2011,2011-04-13,Copa do Brasil,Náutico-PE,fora,3,0,,Ricardo Gomes
3772,17/04/2011,2011-04-17,Campeonato Carioca,Olaria,fora,2,2,,Ricardo Gomes
3773,23/04/2011,2011-04-23,Campeonato Carioca,Olaria,casa,1,0,,Ricardo Gomes
3774,27/04/2011,2011-04-27,Copa do Brasil,Náutico-PE,casa,0,0,,Ricardo Gomes
3775,01/05/2011,2011-05-01,Campeonato Carioca,Flamengo,casa,0,0,,Ricardo Gomes
3776,04/05/2011,2011-05-04,Copa do Brasil,Atlético-PR,fora,2,2,,Ricardo Gomes
3777,12/05/2011,2011-05-12,Copa do Brasil,Atlético-PR,casa,1,1,,Ricardo Gomes
3778,18/05/2011,2011-05-18,Copa do Brasil,Avaí-SC,casa,1,1,,Ricardo Gomes
3779,21/05/2011,2011-05-21,Campeonato Brasileiro Serie A,Ceará-CE,fora,3,1,,Ricardo Gomes
3780,25/05/2011,2011-05-25,Copa do Brasil,Avaí-SC,fora,2,0,,Ricardo Gomes
3781,29/05/2011,2011-05-29,Campeonato Brasileiro Serie A,América-MG,casa,3,0,,Ricardo Gomes
