id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
3429,15/01/2017,2017-01-15,Florida Cup,Barcelona-EQU,casa,2,1,,Cristóvão Borges
3430,18/01/2017,2017-01-18,Florida Cup,Corinthians,casa,1,4,,Cristóvão Borges
3431,21/01/2017,2017-01-21,Florida Cup,River Plate-ARG,casa,1,0,,Cristóvão Borges
3432,29/01/2017,2017-01-29,Campeonato Carioca,Fluminense,casa,0,3,,Cristóvão Borges
3433,02/02/2017,2017-02-02,Campeonato Carioca,Bangu,fora,3,1,,Cristóvão Borges
3434,05/02/2017,2017-02-05,Campeonato Carioca,Resende,casa,2,1,,Cristóvão Borges
3435,09/02/2017,2017-02-09,Copa do Brasil,Santos-AP,fora,2,0,,Cristóvão Borges
3436,12/02/2017,2017-02-12,Campeonato Carioca,Volta Redonda,fora,0,1,,Cristóvão Borges
3437,18/02/2017,2017-02-18,Campeonato Carioca,Portuguesa,casa,1,0,,Cristóvão Borges
3438,25/02/2017,2017-02-25,Campeonato Carioca,Flamengo,fora,0,1,,Cristóvão Borges
3439,01/03/2017,2017-03-01,Copa do Brasil,Vila Nova,fora,2,1,,Cristóvão Borges
3440,09/03/2017,2017-03-09,Copa do Brasil,Vitória,casa,1,1,,Cristóvão Borges
3441,12/03/2017,2017-03-12,Campeonato Carioca,Macaé,fora,2,2,,Cristóvão Borges
3442,16/03/2017,2017-03-16,Copa do Brasil,Vitória,fora,0,1,,Cristóvão Borges
3443,19/03/2017,2017-03-19,Campeonato Carioca,Botafogo,casa,0,0,,Cristóvão Borges
3444,22/03/2017,2017-03-22,Campeonato Carioca,Madureira,casa,1,0,,Cristóvão Borges
3445,26/03/2017,2017-03-26,Campeonato Carioca,Flamengo,fora,2,2,,Cristóvão Borges
3446,30/03/2017,2017-03-30,Campeonato Carioca,Boavista,casa,1,0,,Cristóvão Borges
3447,02/04/2017,2017-04-02,Campeonato Carioca,Nova Iguaçu,fora,2,0,,Cristóvão Borges
3448,08/04/2017,2017-04-08,Campeonato Carioca,Flamengo,casa,0,0,,Cristóvão Borges
3449,16/04/2017,2017-04-16,Campeonato Carioca,Botafogo,casa,2,0,,Cristóvão Borges
3450,22/04/2017,2017-04-22,Campeonato Carioca,Fluminense,fora,0,3,,Cristóvão Borges
3451,14/05/2017,2017-05-14,Campeonato Brasileiro Serie A,Palmeiras,fora,0,4,,Cristóvão Borges
3452,21/05/2017,2017-05-21,Campeonato Brasileiro Serie A,Bahia,casa,2,1,,Cristóvão Borges
3453,27/05/2017,2017-05-27,Campeonato Brasileiro Serie A,Fluminense,casa,3,2,,Cristóvão Borges
3454,04/06/2017,2017-06-04,Campeonato Brasileiro Serie A,Grêmio,fora,0,2,,Cristóvão Borges
3455,07/06/2017,2017-06-07,Campeonato Brasileiro Serie A,Corinthians,casa,2,5,,Cristóvão Borges
3456,10/06/2017,2017-06-10,Campeonato Brasileiro Serie A,Sport,casa,2,1,,Cristóvão Borges
3457,14/06/2017,2017-06-14,Campeonato Brasileiro Serie A,Chapecoense,fora,1,2,,Cristóvão Borges
3458,17/06/2017,2017-06-17,Campeonato Brasileiro Serie A,Avaí,casa,1,0,,Cristóvão Borges
3459,21/06/2017,2017-06-21,Campeonato Brasileiro Serie A,Botafogo,fora,1,3,,Cristóvão Borges
3460,25/06/2017,2017-06-25,Campeonato Brasileiro Serie A,Atlético-GO,casa,1,0,,Cristóvão Borges
3461,02/07/2017,2017-07-02,Campeonato Brasileiro Serie A,Coritiba,fora,2,2,,Zé Ricardo
3462,08/07/2017,2017-07-08,Campeonato Brasileiro Serie A,Flamengo,casa,0,1,,Zé Ricardo
3463,12/07/2017,2017-07-12,Campeonato Brasileiro Serie A,Vitória,fora,4,1,,Zé Ricardo
3464,16/07/2017,2017-07-16,Campeonato Brasileiro Serie A,Santos,casa,0,0,,Zé Ricardo
3465,19/07/2017,2017-07-19,Campeonato Brasileiro Serie A,São Paulo,fora,0,1,,Zé Ricardo
3466,23/07/2017,2017-07-23,Campeonato Brasileiro Serie A,Atlético-MG,fora,2,1,,Zé Ricardo
3467,31/07/2017,2017-07-31,Campeonato Brasileiro Serie A,Atlético-PR,casa,0,1,,Zé Ricardo
