id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
3558,18/01/2014,2014-01-18,Campeonato Carioca,Boavista,casa,1,1,,Adilson Batista
3559,22/01/2014,2014-01-22,Campeonato Carioca,Macaé,fora,1,1,,Adilson Batista
3560,26/01/2014,2014-01-26,Campeonato Carioca,Friburguense,casa,6,0,,Adilson Batista
3561,29/01/2014,2014-01-29,Campeonato Carioca,Audax,fora,4,0,,Adilson Batista
3562,02/02/2014,2014-02-02,Campeonato Carioca,Botafogo,casa,1,0,,Adilson Batista
3563,05/02/2014,2014-02-05,Campeonato Carioca,Volta Redonda,fora,2,1,,Adilson Batista
3564,09/02/2014,2014-02-09,Campeonato Carioca,Nova Iguaçu,fora,1,1,,Adilson Batista
3565,16/02/2014,2014-02-16,Campeonato Carioca,Flamengo,casa,1,2,,Adilson Batista
3566,19/02/2014,2014-02-19,Campeonato Carioca,Bangu,fora,2,0,,Adilson Batista
3567,23/02/2014,2014-02-23,Campeonato Carioca,Cabofriense,casa,1,2,,Adilson Batista
3568,27/02/2014,2014-02-27,Campeonato Carioca,Madureira,fora,3,1,,Adilson Batista
3569,05/03/2014,2014-03-05,Campeonato Carioca,Resende,casa,2,0,,Adilson Batista
3570,08/03/2014,2014-03-08,Campeonato Carioca,Bonsucesso,casa,1,1,,Adilson Batista
3571,16/03/2014,2014-03-16,Campeonato Carioca,Fluminense,fora,1,1,,Adilson Batista
3572,23/03/2014,2014-03-23,Campeonato Carioca,Duque de Caxias,casa,4,0,,Adilson Batista
3573,27/03/2014,2014-03-27,Campeonato Carioca,Fluminense,casa,1,1,,Adilson Batista
3574,30/03/2014,2014-03-30,Campeonato Carioca,Fluminense,fora,1,0,,Adilson Batista
3575,03/04/2014,2014-04-03,Copa do Brasil,Resende,fora,0,0,,Adilson Batista
3576,06/04/2014,2014-04-06,Campeonato Carioca,Flamengo,casa,1,1,,Adilson Batista
3577,13/04/2014,2014-04-13,Campeonato Carioca,Flamengo,fora,1,1,,Adilson Batista
3578,16/04/2014,2014-04-16,Copa do Brasil,Resende,casa,1,0,,Adilson Batista
3579,19/04/2014,2014-04-19,Campeonato Brasileiro Serie B,América-MG,casa,1,1,,Adilson Batista
3580,26/04/2014,2014-04-26,Campeonato Brasileiro Serie B,Luverdense,fora,1,2,,Adilson Batista
3581,30/04/2014,2014-04-30,Copa do Brasil,Treze,fora,2,1,,Adilson Batista
3582,03/05/2014,2014-05-03,Campeonato Brasileiro Serie B,Atlético-GO,casa,3,0,,Joel Santana
3583,07/05/2014,2014-05-07,Copa do Brasil,Treze,casa,1,1,,Joel Santana
3584,10/05/2014,2014-05-10,Campeonato Brasileiro Serie B,Oeste,casa,2,0,,Joel Santana
3585,20/05/2014,2014-05-20,Campeonato Brasileiro Serie B,Sampaio Correa,casa,1,1,,Joel Santana
3586,24/05/2014,2014-05-24,Campeonato Brasileiro Serie B,Joinville,fora,0,0,,Joel Santana
3587,27/05/2014,2014-05-27,Campeonato Brasileiro Serie B,Bragantino,fora,1,1,,Joel Santana
3588,31/05/2014,2014-05-31,Campeonato Brasileiro Serie B,Portuguesa,casa,1,1,,Joel Santana
3589,03/06/2014,2014-06-03,Campeonato Brasileiro Serie B,Boa,fora,2,0,,Joel Santana
3590,15/07/2014,2014-07-15,Campeonato Brasileiro Serie B,Santa Cruz,casa,4,1,,Joel Santana
3591,19/07/2014,2014-07-19,Campeonato Brasileiro Serie B,América-RN,casa,1,1,,Joel Santana
3592,23/07/2014,2014-07-23,Copa do Brasil,Ponte Preta,fora,2,0,,Joel Santana
3593,26/07/2014,2014-07-26,Campeonato Brasileiro Serie B,Ponte Preta,fora,0,0,,Joel Santana
3594,30/07/2014,2014-07-30,Copa do Brasil,Ponte Preta,casa,2,1,,Joel Santana
3595,02/08/2014,2014-08-02,Campeonato Brasileiro Serie B,Paraná,casa,1,0,,Joel Santana
3596,09/08/2014,2014-08-09,Campeonato Brasileiro Serie B,ABC,fora,2,1,,Joel Santana
3597,12/08/2014,2014-08-12,Campeonato Brasileiro Serie B,Náutico,fora,1,0,,Joel Santana
3598,16/08/2014,2014-08-16,Campeonato Brasileiro Serie B,Ceará,casa,2,0,,Joel Santana
3599,19/08/2014,2014-08-19,Campeonato Brasileiro Serie B,Vila Nova,fora,1,2,,Joel Santana
3600,22/08/2014,2014-08-22,Campeonato Brasileiro Serie B,Icasa,fora,1,1,,Joel Santana
3601,26/08/2014,2014-08-26,Copa do Brasil,ABC,casa,1,1,,Joel Santana
3602,30/08/2014,2014-08-30,Campeonato Brasileiro Serie B,Avaí,casa,0,5,,Joel Santana
3603,02/09/2014,2014-09-02,Copa do Brasil,ABC,fora,1,2,,Dorival Júnior
3604,06/09/2014,2014-09-06,Campeonato Brasileiro Serie B,América-MG,fora,3,2,,Dorival Júnior
3605,09/09/2014,2014-09-09,Campeonato Brasileiro Serie B,Luverdense,casa,2,0,,Dorival Júnior
3606,13/09/2014,2014-09-13,Campeonato Brasileiro Serie B,Atlético-GO,fora,1,1,,Dorival Júnior
3607,16/09/2014,2014-09-16,Campeonato Brasileiro Serie B,Oeste,fora,1,1,,Dorival Júnior
3608,20/09/2014,2014-09-20,Campeonato Brasileiro Serie B,Náutico,casa,2,1,,Dorival Júnior
3609,23/09/2014,2014-09-23,Campeonato Brasileiro Serie B,Sampaio Corrêa,fora,2,2,,Dorival Júnior
3610,26/09/2014,2014-09-26,Campeonato Brasileiro Serie B,Joinville,casa,2,0,,Dorival Júnior
3611,03/10/2014,2014-10-03,Campeonato Brasileiro Serie B,Bragantino,casa,2,2,,Dorival Júnior
3612,07/10/2014,2014-10-07,Campeonato Brasileiro Serie B,Portuguesa,fora,1,0,,Dorival Júnior
3613,10/10/2014,2014-10-10,Campeonato Brasileiro Serie B,Boa,casa,2,0,,Dorival Júnior
3614,18/10/2014,2014-10-18,Campeonato Brasileiro Serie B,Santa Cruz,fora,0,1,,Dorival Júnior
3615,21/10/2014,2014-10-21,Campeonato Brasileiro Serie B,América-RN,fora,0,2,,Dorival Júnior
3616,25/10/2014,2014-10-25,Campeonato Brasileiro Serie B,Ponte Preta,casa,1,1,,Dorival Júnior
3617,31/10/2014,2014-10-31,Campeonato Brasileiro Serie B,Paraná,fora,1,1,,Dorival Júnior
3618,08/11/2014,2014-11-08,Campeonato Brasileiro Serie B,ABC,casa,1,0,,Dorival Júnior
3619,15/11/2014,2014-11-15,Campeonato Brasileiro Serie B,Ceará,fora,0,2,,Dorival Júnior
3620,18/11/2014,2014-11-18,Campeonato Brasileiro Serie B,Vila Nova,casa,3,1,,Dorival Júnior
3621,22/11/2014,2014-11-22,Campeonato Brasileiro Serie B,Icasa,casa,1,1,,Dorival Júnior
3622,29/11/2014,2014-11-29,Campeonato Brasileiro Serie B,Avaí,fora,0,1,,Dorival Júnior
