id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
4287,24/01/2004,2004-01-24,Campeonato Carioca,Portuguesa,casa,2,0,,Geninho
4288,28/01/2004,2004-01-28,Campeonato Carioca,Olaria,fora,3,0,,Geninho
4289,01/02/2004,2004-02-01,Campeonato Carioca,Bangu,fora,2,1,,Geninho
4283,04/02/2004,2004-02-04,Copa do Brasil,Flamengo-PI,fora,1,0,,Geninho
4290,08/02/2004,2004-02-08,Campeonato Carioca,Botafogo,fora,1,1,,Geninho
4291,11/02/2004,2004-02-11,Campeonato Carioca,Americano,casa,0,0,,Geninho
4292,15/02/2004,2004-02-15,Campeonato Carioca,Flamengo,casa,0,2,,Geninho
4284,18/02/2004,2004-02-18,Copa do Brasil,Flamengo-PI,casa,5,0,,Geninho
4293,25/02/2004,2004-02-25,Campeonato Carioca,Madureira,casa,2,1,,Geninho
4294,04/03/2004,2004-03-04,Campeonato Carioca,Cabofriense,casa,5,1,,Geninho
4295,07/03/2004,2004-03-07,Campeonato Carioca,Fluminense,fora,4,0,,Geninho
4296,10/03/2004,2004-03-10,Campeonato Carioca,Friburguense,fora,1,2,,Geninho
4297,14/03/2004,2004-03-14,Campeonato Carioca,América,fora,2,1,,Geninho
4285,17/03/2004,2004-03-17,Copa do Brasil,15 de Novembro-RS,fora,1,1,,Geninho
4298,21/03/2004,2004-03-21,Campeonato Carioca,Flamengo,casa,2,1,,Valdir Espinosa
4299,28/03/2004,2004-03-28,Campeonato Carioca,Friburguense,casa,1,1,,Valdir Espinosa
4300,04/04/2004,2004-04-04,Campeonato Carioca,Fluminense,casa,2,1,,Valdir Espinosa
4286,07/04/2004,2004-04-07,Copa do Brasil,15 de Novembro-RS,casa,0,3,,Valdir Espinosa
4301,11/04/2004,2004-04-11,Campeonato Carioca,Flamengo,fora,1,2,,Valdir Espinosa
4302,18/04/2004,2004-04-18,Campeonato Carioca,Flamengo,casa,1,3,,Valdir Espinosa
4237,22/04/2004,2004-04-22,Campeonato Brasileiro Serie A,Criciúma,casa,0,1,,Valdir Espinosa
4238,25/04/2004,2004-04-25,Campeonato Brasileiro Serie A,Atlético-MG,fora,1,1,,Valdir Espinosa
4239,29/04/2004,2004-04-29,Campeonato Brasileiro Serie A,Guarani,casa,0,1,,Valdir Espinosa
4240,02/05/2004,2004-05-02,Campeonato Brasileiro Serie A,Fluminense,fora,0,1,,Valdir Espinosa
4241,08/05/2004,2004-05-08,Campeonato Brasileiro Serie A,Grêmio,casa,1,1,,Valdir Espinosa
4242,15/05/2004,2004-05-15,Campeonato Brasileiro Serie A,Paysandu,fora,2,1,,Valdir Espinosa
4243,23/05/2004,2004-05-23,Campeonato Brasileiro Serie A,São Caetano,fora,2,3,,Valdir Espinosa
4244,30/05/2004,2004-05-30,Campeonato Brasileiro Serie A,Botafogo,casa,4,0,,Valdir Espinosa
4245,13/06/2004,2004-06-13,Campeonato Brasileiro Serie A,Palmeiras,fora,2,2,,Valdir Espinosa
4246,19/06/2004,2004-06-19,Campeonato Brasileiro Serie A,Paraná,casa,0,0,,Valdir Espinosa
