id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
4091,14/01/2007,2007-01-14,Amistoso,Villa Rio-RJ,casa,4,0,,Renato Gaúcho
4092,20/01/2007,2007-01-20,Amistoso,Portuguesa-RJ,casa,3,1,,Renato Gaúcho
4078,24/01/2007,2007-01-24,Campeonato Carioca,Nova Iguaçu,casa,2,0,,Renato Gaúcho
4079,28/01/2007,2007-01-28,Campeonato Carioca,Friburguense,fora,4,1,,Renato Gaúcho
4080,07/02/2007,2007-02-07,Campeonato Carioca,América,fora,1,2,,Renato Gaúcho
4081,11/02/2007,2007-02-11,Campeonato Carioca,Volta Redonda,casa,6,1,,Renato Gaúcho
4074,14/02/2007,2007-02-14,Copa do Brasil,Fast-AM,fora,2,1,,Renato Gaúcho
4082,17/02/2007,2007-02-17,Campeonato Carioca,Fluminense,fora,4,4,,Renato Gaúcho
4083,25/02/2007,2007-02-25,Campeonato Carioca,Flamengo,casa,1,1,,Renato Gaúcho
4075,28/02/2007,2007-02-28,Copa do Brasil,Fast-AM,casa,6,0,,Renato Gaúcho
4084,11/03/2007,2007-03-11,Campeonato Carioca,Madureira,casa,4,1,,Renato Gaúcho
4085,17/03/2007,2007-03-17,Campeonato Carioca,Boavista,fora,6,2,,Renato Gaúcho
4076,21/03/2007,2007-03-21,Copa do Brasil,Gama-DF,fora,2,2,,Renato Gaúcho
4086,25/03/2007,2007-03-25,Campeonato Carioca,Flamengo,casa,3,0,,Renato Gaúcho
4087,28/03/2007,2007-03-28,Campeonato Carioca,Americano,casa,0,0,,Renato Gaúcho
4088,01/04/2007,2007-04-01,Campeonato Carioca,Botafogo,fora,0,2,,Renato Gaúcho
4077,04/04/2007,2007-04-04,Copa do Brasil,Gama-DF,casa,1,2,,Renato Gaúcho
4089,08/04/2007,2007-04-08,Campeonato Carioca,Cabofriense,fora,1,2,,Renato Gaúcho
4090,11/04/2007,2007-04-11,Campeonato Carioca,Botafogo,fora,4,4,,Renato Gaúcho
4030,13/05/2007,2007-05-13,Campeonato Brasileiro Serie A,América-RN,fora,1,0,,Renato Gaúcho
4093,19/05/2007,2007-05-19,Amistoso,Volta Redonda-RJ,fora,2,1,,Renato Gaúcho
4031,20/05/2007,2007-05-20,Campeonato Brasileiro Serie A,Sport,casa,3,1,,Renato Gaúcho
4094,26/05/2007,2007-05-26,Amistoso,Teresópolis-RJ,fora,3,1,,Renato Gaúcho
4095,26/05/2007,2007-05-26,Amistoso,Villa Rio-RJ,casa,3,3,,Renato Gaúcho
4032,27/05/2007,2007-05-27,Campeonato Brasileiro Serie A,Náutico-PE,fora,2,2,,Renato Gaúcho
4096,30/05/2007,2007-05-30,Amistoso,Cabofriense-RJ,fora,1,2,,Renato Gaúcho
4033,03/06/2007,2007-06-03,Campeonato Brasileiro Serie A,Fluminense,casa,1,1,,Renato Gaúcho
4034,09/06/2007,2007-06-09,Campeonato Brasileiro Serie A,Grêmio,casa,4,0,,Renato Gaúcho
4097,16/06/2007,2007-06-16,Amistoso,Madureira-RJ,fora,0,2,,Renato Gaúcho
4035,17/06/2007,2007-06-17,Campeonato Brasileiro Serie A,São Paulo,fora,0,2,,Renato Gaúcho
4036,30/06/2007,2007-06-30,Campeonato Brasileiro Serie A,Cruzeiro,fora,1,3,,Renato Gaúcho
4037,04/07/2007,2007-07-04,Campeonato Brasileiro Serie A,Santos,casa,4,0,,Celso Roth
4038,07/07/2007,2007-07-07,Campeonato Brasileiro Serie A,Juventude,fora,0,2,,Celso Roth
4039,12/07/2007,2007-07-12,Campeonato Brasileiro Serie A,Atlético-PR,casa,1,0,,Celso Roth
4098,13/07/2007,2007-07-13,Amistoso,Sel. México Sub-23,casa,0,0,,Celso Roth
4040,14/07/2007,2007-07-14,Campeonato Brasileiro Serie A,Botafogo,fora,0,4,,Celso Roth
4041,21/07/2007,2007-07-21,Campeonato Brasileiro Serie A,Atlético-MG,casa,4,0,,Celso Roth
4042,25/07/2007,2007-07-25,Campeonato Brasileiro Serie A,Palmeiras,fora,2,3,,Celso Roth
4043,28/07/2007,2007-07-28,Campeonato Brasileiro Serie A,Goiás,casa,4,1,,Celso Roth
4099,29/07/2007,2007-07-29,Amistoso,Macaé-RJ,fora,0,0,,Celso Roth
4044,01/08/2007,2007-08-01,Campeonato Brasileiro Serie A,Internacional,fora,2,0,,Celso Roth
4045,05/08/2007,2007-08-05,Campeonato Brasileiro Serie A,Figueirense,casa,2,2,,Celso Roth
4046,08/08/2007,2007-08-08,Campeonato Brasileiro Serie A,Corinthians,casa,2,0,,Celso Roth
4047,12/08/2007,2007-08-12,Campeonato Brasileiro Serie A,Paraná,fora,0,0,,Celso Roth
4068,15/08/2007,2007-08-15,Copa Sul-Americana,Atlético-PR,fora,4,2,,Celso Roth
4049,19/08/2007,2007-08-19,Campeonato Brasileiro Serie A,América-RN,casa,2,0,,Celso Roth
4050,26/08/2007,2007-08-26,Campeonato Brasileiro Serie A,Sport,fora,0,0,,Celso Roth
4051,30/08/2007,2007-08-30,Campeonato Brasileiro Serie A,Náutico-PE,casa,4,1,,Celso Roth
4052,02/09/2007,2007-09-02,Campeonato Brasileiro Serie A,Fluminense,fora,1,1,,Celso Roth
4053,05/09/2007,2007-09-05,Campeonato Brasileiro Serie A,Grêmio,fora,1,3,,Celso Roth
4054,08/09/2007,2007-09-08,Campeonato Brasileiro Serie A,São Paulo,casa,0,2,,Celso Roth
4069,12/09/2007,2007-09-12,Copa Sul-Americana,Atlético-PR,casa,2,0,,Celso Roth
4055,16/09/2007,2007-09-16,Campeonato Brasileiro Serie A,Flamengo,fora,1,1,,Celso Roth
4070,19/09/2007,2007-09-19,Copa Sul-Americana,Lanús-ARG,fora,0,2,,Celso Roth
4056,23/09/2007,2007-09-23,Campeonato Brasileiro Serie A,Cruzeiro,casa,0,2,,Celso Roth
4071,26/09/2007,2007-09-26,Copa Sul-Americana,Lanús-ARG,casa,3,0,,Celso Roth
4057,30/09/2007,2007-09-30,Campeonato Brasileiro Serie A,Santos,fora,0,1,,Celso Roth
4058,03/10/2007,2007-10-03,Campeonato Brasileiro Serie A,Juventude,casa,0,1,,Celso Roth
4100,04/10/2007,2007-10-04,Amistoso,Duque de Caxias-RJ,fora,1,1,,Celso Roth
4059,07/10/2007,2007-10-07,Campeonato Brasileiro Serie A,Atlético-PR,fora,0,1,,Celso Roth
4072,10/10/2007,2007-10-10,Copa Sul-Americana,América-MEX,fora,0,2,,Celso Roth
4060,13/10/2007,2007-10-13,Campeonato Brasileiro Serie A,Botafogo,casa,2,1,,Celso Roth
4048,18/10/2007,2007-10-18,Campeonato Brasileiro Serie A,Flamengo,casa,1,2,,Celso Roth
4061,21/10/2007,2007-10-21,Campeonato Brasileiro Serie A,Atlético-MG,fora,0,1,,Celso Roth
4073,24/10/2007,2007-10-24,Copa Sul-Americana,América-MEX,casa,1,0,,Celso Roth
4062,28/10/2007,2007-10-28,Campeonato Brasileiro Serie A,Palmeiras,casa,2,2,,Celso Roth
4063,31/10/2007,2007-10-31,Campeonato Brasileiro Serie A,Goiás,fora,3,2,,Celso Roth
4064,04/11/2007,2007-11-04,Campeonato Brasileiro Serie A,Internacional,casa,1,2,,Celso Roth
4065,11/11/2007,2007-11-11,Campeonato Brasileiro Serie A,Figueirense,fora,3,3,,Celso Roth
4066,28/11/2007,2007-11-28,Campeonato Brasileiro Serie A,Corinthians,fora,1,0,,Celso Roth
4067,02/12/2007,2007-12-02,Campeonato Brasileiro Serie A,Paraná,casa,3,0,,Celso Roth
