id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
4435,20/01/2002,2002-01-20,Torneio Rio-São Paulo,Ponte Preta,casa,3,3,,Evaristo de Macedo
4407,26/01/2002,2002-01-26,Campeonato Carioca,Bangu,casa,3,0,,Evaristo de Macedo
4436,27/01/2002,2002-01-27,Torneio Rio-São Paulo,São Paulo,fora,3,2,,Evaristo de Macedo
4437,30/01/2002,2002-01-30,Torneio Rio-São Paulo,América,fora,2,0,,Evaristo de Macedo
4408,02/02/2002,2002-02-02,Campeonato Carioca,Madureira,fora,2,1,,Evaristo de Macedo
4438,03/02/2002,2002-02-03,Torneio Rio-São Paulo,Palmeiras,casa,2,2,,Evaristo de Macedo
4409,06/02/2002,2002-02-06,Campeonato Carioca,Entrerriense,fora,3,0,,Evaristo de Macedo
4439,09/02/2002,2002-02-09,Torneio Rio-São Paulo,Jundiaí,fora,2,2,,Evaristo de Macedo
4399,13/02/2002,2002-02-13,Copa do Brasil,Sergipe,fora,1,1,,Evaristo de Macedo
4440,17/02/2002,2002-02-17,Torneio Rio-São Paulo,Americano,casa,3,0,,Evaristo de Macedo
4410,18/02/2002,2002-02-18,Campeonato Carioca,Botafogo,casa,1,0,,Evaristo de Macedo
4400,20/02/2002,2002-02-20,Copa do Brasil,Sergipe,casa,2,1,,Evaristo de Macedo
4411,21/02/2002,2002-02-21,Campeonato Carioca,Olaria,casa,3,0,,Evaristo de Macedo
4441,24/02/2002,2002-02-24,Torneio Rio-São Paulo,São Caetano,fora,0,3,,Evaristo de Macedo
4412,25/02/2002,2002-02-25,Campeonato Carioca,América,fora,2,1,,Evaristo de Macedo
4401,27/02/2002,2002-02-27,Copa do Brasil,Santa Cruz,fora,2,1,,Evaristo de Macedo
4413,28/02/2002,2002-02-28,Campeonato Carioca,Friburguense,casa,1,0,,Evaristo de Macedo
4442,02/03/2002,2002-03-02,Torneio Rio-São Paulo,Portuguesa,casa,4,1,,Evaristo de Macedo
4402,06/03/2002,2002-03-06,Copa do Brasil,Santa Cruz,casa,3,3,,Evaristo de Macedo
4414,07/03/2002,2002-03-07,Campeonato Carioca,Fluminense,fora,2,2,,Evaristo de Macedo
4443,10/03/2002,2002-03-10,Torneio Rio-São Paulo,Flamengo,casa,3,1,,Evaristo de Macedo
4415,11/03/2002,2002-03-11,Campeonato Carioca,V. Redonda,casa,2,0,,Evaristo de Macedo
4444,17/03/2002,2002-03-17,Torneio Rio-São Paulo,Guarani,fora,1,1,,Evaristo de Macedo
4445,21/03/2002,2002-03-21,Torneio Rio-São Paulo,Botafogo,fora,2,2,,Evaristo de Macedo
4446,24/03/2002,2002-03-24,Torneio Rio-São Paulo,Fluminense,casa,1,3,,Evaristo de Macedo
4416,25/03/2002,2002-03-25,Campeonato Carioca,Flamengo,fora,1,0,,Evaristo de Macedo
4403,27/03/2002,2002-03-27,Copa do Brasil,CSA,fora,1,2,,Evaristo de Macedo
4447,30/03/2002,2002-03-30,Torneio Rio-São Paulo,Santos,casa,1,1,,Evaristo de Macedo
4404,03/04/2002,2002-04-03,Copa do Brasil,CSA,casa,4,0,,Evaristo de Macedo
4448,07/04/2002,2002-04-07,Torneio Rio-São Paulo,Bangu,casa,5,1,,Evaristo de Macedo
4405,10/04/2002,2002-04-10,Copa do Brasil,São Paulo,casa,1,0,,Evaristo de Macedo
4449,14/04/2002,2002-04-14,Torneio Rio-São Paulo,Corinthians,fora,0,1,,Evaristo de Macedo
4406,17/04/2002,2002-04-17,Copa do Brasil,São Paulo,fora,0,4,,Evaristo de Macedo
4418,21/04/2002,2002-04-21,Campeonato Carioca,Madureira,casa,3,1,,Evaristo de Macedo
4419,24/04/2002,2002-04-24,Campeonato Carioca,Entrerriense,casa,6,1,,Evaristo de Macedo
4417,28/04/2002,2002-04-28,Campeonato Carioca,Americano,fora,1,2,,Evaristo de Macedo
4420,01/05/2002,2002-05-01,Campeonato Carioca,Olaria,fora,1,1,,Evaristo de Macedo
4421,05/05/2002,2002-05-05,Campeonato Carioca,América,casa,2,1,,Evaristo de Macedo
4422,08/05/2002,2002-05-08,Campeonato Carioca,Friburguense,fora,2,3,,Evaristo de Macedo
4423,11/05/2002,2002-05-11,Campeonato Carioca,Americano,casa,2,1,,Evaristo de Macedo
4424,15/05/2002,2002-05-15,Campeonato Carioca,Fluminense,casa,1,0,,Evaristo de Macedo
4425,19/05/2002,2002-05-19,Campeonato Carioca,V. Redonda,fora,3,4,,Evaristo de Macedo
4426,23/05/2002,2002-05-23,Campeonato Carioca,Bangu,fora,3,1,,Evaristo de Macedo
4427,26/05/2002,2002-05-26,Campeonato Carioca,Flamengo,casa,0,0,,Evaristo de Macedo
4428,29/05/2002,2002-05-29,Campeonato Carioca,Botafogo,fora,2,2,,Evaristo de Macedo
4429,02/06/2002,2002-06-02,Campeonato Carioca,Bangu,casa,1,4,,Antônio Lopes
4430,05/06/2002,2002-06-05,Campeonato Carioca,Americano,casa,3,4,,Antônio Lopes
4431,08/06/2002,2002-06-08,Campeonato Carioca,Botafogo,casa,0,1,,Antônio Lopes
4432,03/07/2002,2002-07-03,Copa dos Campeões,Atlético-MG,fora,3,3,,Antônio Lopes
4433,10/07/2002,2002-07-10,Copa dos Campeões,Palmeiras,fora,1,1,,Antônio Lopes
4434,14/07/2002,2002-07-14,Copa dos Campeões,Bahia,fora,0,1,,Antônio Lopes
4374,10/08/2002,2002-08-10,Campeonato Brasileiro Serie A,Figueirense,casa,2,0,,Antônio Lopes
4375,14/08/2002,2002-08-14,Campeonato Brasileiro Serie A,Grêmio,fora,2,3,,Antônio Lopes
4376,17/08/2002,2002-08-17,Campeonato Brasileiro Serie A,Atlético-PR,fora,1,2,,Antônio Lopes
4377,22/08/2002,2002-08-22,Campeonato Brasileiro Serie A,Gama,casa,0,1,,Antônio Lopes
4378,25/08/2002,2002-08-25,Campeonato Brasileiro Serie A,Goiás,fora,4,2,,Antônio Lopes
4379,01/09/2002,2002-09-01,Campeonato Brasileiro Serie A,Juventude,fora,0,1,,Antônio Lopes
4380,04/09/2002,2002-09-04,Campeonato Brasileiro Serie A,Atlético-MG,casa,1,2,,Antônio Lopes
4381,07/09/2002,2002-09-07,Campeonato Brasileiro Serie A,Coritiba,casa,1,0,,Antônio Lopes
