id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
3489,21/01/2015,2015-01-21,Super Series,Flamengo,fora,0,1,,Doriva
3490,23/01/2015,2015-01-23,Super Series,São Paulo,casa,1,2,,Doriva
3491,01/02/2015,2015-02-01,Campeonato Carioca,Cabofriense,fora,2,0,,Doriva
3492,05/02/2015,2015-02-05,Campeonato Carioca,Madureira,casa,2,0,,Doriva
3493,08/02/2015,2015-02-08,Campeonato Carioca,Tigres,fora,1,1,,Doriva
3494,12/02/2015,2015-02-12,Campeonato Carioca,Macaé,casa,3,0,,Doriva
3495,18/02/2015,2015-02-18,Campeonato Carioca,Barra Mansa,casa,1,1,,Doriva
3496,22/02/2015,2015-02-22,Campeonato Carioca,Fluminense,fora,1,0,,Doriva
3497,28/02/2015,2015-02-28,Campeonato Carioca,Bangu,casa,2,0,,Doriva
3498,08/03/2015,2015-03-08,Campeonato Carioca,Bonsucesso,fora,1,0,,Doriva
3499,12/03/2015,2015-03-12,Campeonato Carioca,Resende,casa,1,0,,Doriva
3500,15/03/2015,2015-03-15,Campeonato Carioca,Nova Iguaçu,casa,5,1,,Doriva
3501,22/03/2015,2015-03-22,Campeonato Carioca,Flamengo,fora,1,2,,Doriva
3502,26/03/2015,2015-03-26,Campeonato Carioca,Boavista,fora,2,1,,Doriva
3503,29/03/2015,2015-03-29,Campeonato Carioca,Botafogo,casa,1,1,,Doriva
3504,01/04/2015,2015-04-01,Copa do Brasil,Rio Branco-AC,fora,2,1,,Celso Roth
3505,05/04/2015,2015-04-05,Campeonato Carioca,Friburguense,fora,4,5,,Celso Roth
3506,08/04/2015,2015-04-08,Campeonato Carioca,Volta Redonda,casa,4,1,,Celso Roth
3507,12/04/2015,2015-04-12,Campeonato Carioca,Flamengo,casa,0,0,,Celso Roth
3508,15/04/2015,2015-04-15,Copa do Brasil,Rio Branco-AC,casa,3,2,,Celso Roth
3509,19/04/2015,2015-04-19,Campeonato Carioca,Flamengo,fora,1,0,,Celso Roth
3510,26/04/2015,2015-04-26,Campeonato Carioca,Botafogo,casa,1,0,,Celso Roth
3511,03/05/2015,2015-05-03,Campeonato Carioca,Botafogo,fora,2,1,,Celso Roth
3512,10/05/2015,2015-05-10,Campeonato Brasileiro Serie A,Goiás,casa,0,0,,Celso Roth
3513,13/05/2015,2015-05-13,Copa do Brasil,Cuiabá,fora,1,1,,Celso Roth
3514,17/05/2015,2015-05-17,Campeonato Brasileiro Serie A,Figueirense,fora,0,0,,Celso Roth
3515,20/05/2015,2015-05-20,Copa do Brasil,Cuiabá,casa,0,0,,Celso Roth
3516,23/05/2015,2015-05-23,Campeonato Brasileiro Serie A,Internacional,casa,1,1,,Celso Roth
3517,31/05/2015,2015-05-31,Campeonato Brasileiro Serie A,Atlético-MG,fora,0,3,,Celso Roth
3518,03/06/2015,2015-06-03,Campeonato Brasileiro Serie A,Ponte Preta,casa,0,3,,Celso Roth
3519,06/06/2015,2015-06-06,Campeonato Brasileiro Serie A,Atlético-PR,fora,0,2,,Celso Roth
3520,13/06/2015,2015-06-13,Campeonato Brasileiro Serie A,Cruzeiro,casa,1,3,,Celso Roth
3521,20/06/2015,2015-06-20,Campeonato Brasileiro Serie A,Sport,fora,1,2,,Celso Roth
3522,28/06/2015,2015-06-28,Campeonato Brasileiro Serie A,Flamengo,casa,1,0,,Celso Roth
3523,01/07/2015,2015-07-01,Campeonato Brasileiro Serie A,Avaí,casa,1,0,,Celso Roth
3524,04/07/2015,2015-07-04,Campeonato Brasileiro Serie A,Chapecoense,fora,0,1,,Celso Roth
3525,08/07/2015,2015-07-08,Campeonato Brasileiro Serie A,São Paulo,casa,0,4,,Celso Roth
3526,11/07/2015,2015-07-11,Campeonato Brasileiro Serie A,Grêmio,fora,0,2,,Celso Roth
3527,15/07/2015,2015-07-15,Copa do Brasil,América-RN,casa,3,1,,Celso Roth
3528,19/07/2015,2015-07-19,Campeonato Brasileiro Serie A,Fluminense,fora,2,1,,Celso Roth
3529,22/07/2015,2015-07-22,Copa do Brasil,América-RN,fora,3,2,,Celso Roth
3530,26/07/2015,2015-07-26,Campeonato Brasileiro Serie A,Palmeiras,casa,1,4,,Celso Roth
3531,29/07/2015,2015-07-29,Campeonato Brasileiro Serie A,Corinthians,fora,0,3,,Celso Roth
3532,09/08/2015,2015-08-09,Campeonato Brasileiro Serie A,Joinville,casa,0,0,,Celso Roth
3533,12/08/2015,2015-08-12,Campeonato Brasileiro Serie A,Santos,fora,0,1,,Celso Roth
3534,15/08/2015,2015-08-15,Campeonato Brasileiro Serie A,Coritiba,casa,0,1,,Celso Roth
3535,19/08/2015,2015-08-19,Copa do Brasil,Flamengo,fora,1,0,,Celso Roth
3536,22/08/2015,2015-08-22,Campeonato Brasileiro Serie A,Goiás,fora,0,3,,Celso Roth
3537,26/08/2015,2015-08-26,Copa do Brasil,Flamengo,casa,1,1,,Celso Roth
3538,29/08/2015,2015-08-29,Campeonato Brasileiro Serie A,Figueirense,casa,0,1,,Celso Roth
3539,02/09/2015,2015-09-02,Campeonato Brasileiro Serie A,Internacional,fora,0,6,,Jorginho
3540,05/09/2015,2015-09-05,Campeonato Brasileiro Serie A,Atlético-MG,casa,1,2,,Jorginho
3541,09/09/2015,2015-09-09,Campeonato Brasileiro Serie A,Ponte Preta,fora,1,0,,Jorginho
3542,13/09/2015,2015-09-13,Campeonato Brasileiro Serie A,Atlético-PR,casa,2,0,,Jorginho
3543,16/09/2015,2015-09-16,Campeonato Brasileiro Serie A,Cruzeiro,fora,2,2,,Jorginho
3544,20/09/2015,2015-09-20,Campeonato Brasileiro Serie A,Sport,casa,2,1,,Jorginho
3545,23/09/2015,2015-09-23,Copa do Brasil,São Paulo,fora,0,3,,Jorginho
3546,27/09/2015,2015-09-27,Campeonato Brasileiro Serie A,Flamengo,fora,2,1,,Jorginho
3547,30/09/2015,2015-09-30,Copa do Brasil,São Paulo,casa,1,1,,Jorginho
3548,04/10/2015,2015-10-04,Campeonato Brasileiro Serie A,Avaí,fora,1,1,,Jorginho
3549,15/10/2015,2015-10-15,Campeonato Brasileiro Serie A,Chapecoense,casa,1,1,,Jorginho
3550,18/10/2015,2015-10-18,Campeonato Brasileiro Serie A,São Paulo,fora,2,2,,Jorginho
3551,25/10/2015,2015-10-25,Campeonato Brasileiro Serie A,Grêmio,casa,0,0,,Jorginho
3552,01/11/2015,2015-11-01,Campeonato Brasileiro Serie A,Fluminense,casa,0,1,,Jorginho
3553,08/11/2015,2015-11-08,Campeonato Brasileiro Serie A,Palmeiras,fora,2,0,,Jorginho
3554,19/11/2015,2015-11-19,Campeonato Brasileiro Serie A,Corinthians,casa,1,1,,Jorginho
3555,22/11/2015,2015-11-22,Campeonato Brasileiro Serie A,Joinville,fora,2,1,,Jorginho
3556,29/11/2015,2015-11-29,Campeonato Brasileiro Serie A,Santos,casa,1,0,,Jorginho
3557,06/12/2015,2015-12-06,Campeonato Brasileiro Serie A,Coritiba,fora,0,0,,Jorginho
