id,data,date_iso,competicao,adversario,local,vasco_goals,opponent_goals,observation,tecnico
4512,17/01/2001,2001-01-17,Torneio Rio-São Paulo,São Paulo,fora,0,2,,Joel Santana
4547,18/01/2001,2001-01-18,Campeonato Brasileiro Serie A,São Caetano,casa,3,1,,Joel Santana
4477,21/01/2001,2001-01-21,Campeonato Carioca,Madureira,casa,1,2,,Joel Santana
4513,24/01/2001,2001-01-24,Torneio Rio-São Paulo,Palmeiras,casa,0,0,,Joel Santana
4478,27/01/2001,2001-01-27,Campeonato Carioca,Friburguense,fora,2,1,,Joel Santana
4514,31/01/2001,2001-01-31,Torneio Rio-São Paulo,Corinthians,casa,1,0,,Joel Santana
4479,03/02/2001,2001-02-03,Campeonato Carioca,América,fora,1,0,,Joel Santana
4515,07/02/2001,2001-02-07,Torneio Rio-São Paulo,Santos,fora,0,3,,Joel Santana
4480,11/02/2001,2001-02-11,Campeonato Carioca,Fluminense,casa,2,0,,Joel Santana
4481,17/02/2001,2001-02-17,Campeonato Carioca,Cabofriense,casa,3,1,,Joel Santana
4482,22/02/2001,2001-02-22,Campeonato Carioca,Flamengo,fora,0,1,,Joel Santana
4483,11/03/2001,2001-03-11,Campeonato Carioca,Cabofriense,casa,3,1,,Joel Santana
4496,14/03/2001,2001-03-14,Copa Libertadores,América Cáli,fora,3,0,,Joel Santana
4484,17/03/2001,2001-03-17,Campeonato Carioca,Olaria,fora,1,0,,Joel Santana
4497,21/03/2001,2001-03-21,Copa Libertadores,Dep. Táchira,fora,1,0,,Joel Santana
4485,30/03/2001,2001-03-30,Campeonato Carioca,Madureira,casa,3,1,,Joel Santana
4486,02/04/2001,2001-04-02,Campeonato Carioca,V. Redonda,casa,2,1,,Joel Santana
4498,05/04/2001,2001-04-05,Copa Libertadores,Peñarol,casa,2,1,,Joel Santana
4487,08/04/2001,2001-04-08,Campeonato Carioca,Americano,fora,1,1,,Joel Santana
4499,12/04/2001,2001-04-12,Copa Libertadores,América Cáli,casa,4,1,,Joel Santana
4488,15/04/2001,2001-04-15,Campeonato Carioca,Fluminense,fora,3,3,,Joel Santana
4489,18/04/2001,2001-04-18,Campeonato Carioca,Friburguense,fora,2,0,,Joel Santana
4500,21/04/2001,2001-04-21,Copa Libertadores,Dep. Táchira,casa,3,2,,Joel Santana
4490,26/04/2001,2001-04-26,Campeonato Carioca,Bangu,casa,3,2,,Joel Santana
4491,29/04/2001,2001-04-29,Campeonato Carioca,Botafogo,casa,7,0,,Joel Santana
4501,02/05/2001,2001-05-02,Copa Libertadores,Peñarol,fora,3,1,,Joel Santana
