match_id,data,competicao,adversario,local_ref,placar_ref,placar_banco,gols_vasco_ref,gols_vasco_banco,tecnico_ref,tecnico_banco,tecnico_status,horario_ref,horario_banco,horario_status,estadio_ref,estadio_banco,estadio_status,arbitro_ref,arbitragem_banco,arbitragem_status,escalacao_status,cartoes_status,publico_presente_ref,publico_banco,renda_banco,fonte_rica
215359,05/09/2000,Campeonato Brasileiro Serie A,Atlético-PR,casa,2x2,2x2,"Viola, Romário",Viola:1; Romário:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215418,07/09/2000,Copa Mercosul,Peñarol,casa,1x1,1x1,Romário,Romário:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,15:45,15:45,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215360,10/09/2000,Campeonato Brasileiro Serie A,Bahia-BA,fora,1x3,1x3,Felipe,Felipe:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,18:30,18:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215361,13/09/2000,Campeonato Brasileiro Serie A,Fluminense-RJ,casa,4x3,4x3,"Romário (2), Juninho, Juninho Paulista",Romário:2; Juninho:1; Juninho Paulista:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215362,20/09/2000,Campeonato Brasileiro Serie A,América-MG,casa,4x0,4x0,"Romário (2), Juninho, Euller",Romário:2; Juninho:1; Euller:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215363,24/09/2000,Campeonato Brasileiro Serie A,Juventude-RS,fora,2x1,2x1,Romário (2),Romário:2,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,18:00,18:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215419,28/09/2000,Copa Mercosul,San Lorenzo,fora,2x0,2x0,"Juninho, Romário",Juninho:1; Romário:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,21:40,21:40,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215364,04/10/2000,Campeonato Brasileiro Serie A,Atlético-MG,casa,4x0,4x0,"Juninho (2), Nasa, Pedrinho",Juninho:2; Nasa:1; Pedrinho:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215365,11/10/2000,Campeonato Brasileiro Serie A,Vitória-BA,casa,2x2,2x2,"Romário, Juninho Paulista",Romário:1; Juninho Paulista:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,22:00,22:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215366,14/10/2000,Campeonato Brasileiro Serie A,Santos,fora,1x1,1x1,Juninho Paulista,Juninho Paulista:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,15:45,15:45,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215420,17/10/2000,Copa Mercosul,Atlético-MG,casa,2x0,2x0,"Romário, Juninho Paulista",Romário:1; Juninho Paulista:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,21:40,21:40,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215367,21/10/2000,Campeonato Brasileiro Serie A,Gama-DF,casa,1x0,1x0,Romário,Romário:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,18:00,18:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215368,24/10/2000,Campeonato Brasileiro Serie A,Goiás-GO,casa,2x1,2x1,"Juninho, Juninho Paulista",Juninho:1; Juninho Paulista:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215369,27/10/2000,Campeonato Brasileiro Serie A,Flamengo-RJ,fora,0x4,0x4,-,,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,21:40,21:40,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215421,31/10/2000,Copa Mercosul,R. Central,casa,1x0,1x0,Juninho Paulista,Juninho Paulista:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,19:00,19:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215370,03/11/2000,Campeonato Brasileiro Serie A,Coritiba-PR,fora,1x0,1x0,Júnior Baiano,Júnior Baiano:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215371,05/11/2000,Campeonato Brasileiro Serie A,Internacional-RS,fora,0x2,0x2,-,,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215422,08/11/2000,Copa Mercosul,R. Central,fora,0x1,0x1,-,,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215372,10/11/2000,Campeonato Brasileiro Serie A,Palmeiras-SP,fora,0x3,0x3,-,,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215373,12/11/2000,Campeonato Brasileiro Serie A,Botafogo,casa,1x2,1x2,Pedrinho,Pedrinho:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,17:00,17:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215374,16/11/2000,Campeonato Brasileiro Serie A,Grêmio-RS,fora,1x0,1x0,Jorginho,Jorginho:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
