match_id,data,competicao,adversario,local_ref,placar_ref,placar_banco,gols_vasco_ref,gols_vasco_banco,tecnico_ref,tecnico_banco,tecnico_status,horario_ref,horario_banco,horario_status,estadio_ref,estadio_banco,estadio_status,arbitro_ref,arbitragem_banco,arbitragem_status,escalacao_status,cartoes_status,publico_presente_ref,publico_banco,renda_banco,fonte_rica
215392,25/03/2000,Campeonato Carioca,Americano-RJ,casa,6x0,6x0,"Romário (4), Edmundo, P. Miranda",Romário:4; Edmundo:1; P. Miranda:1,Abel Braga,Abel Braga,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215393,29/03/2000,Campeonato Carioca,Olaria-RJ,fora,4x1,4x1,"Romário (3), Edmundo",Romário:3; Edmundo:1,Abel Braga,Abel Braga,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215394,02/04/2000,Campeonato Carioca,Fluminense-RJ,fora,3x2,3x2,"Luciano (contra), Romário, Edmundo",Gol contra:1; Romário:1; Edmundo:1,Abel Braga,Abel Braga,OK,17:00,17:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215395,09/04/2000,Campeonato Carioca,Botafogo,casa,0x0,0x0,-,,Abel Braga,Abel Braga,OK,17:00,17:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215396,12/04/2000,Campeonato Carioca,V. Redonda,fora,3x0,3x0,"J. Baiano, P. Miranda, Odvan",J. Baiano:1; P. Miranda:1; Odvan:1,Abel Braga,Abel Braga,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215397,15/04/2000,Campeonato Carioca,América,fora,3x1,3x1,"Romário (2), Pedrinho",Romário:2; Pedrinho:1,Abel Braga,Abel Braga,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215398,19/04/2000,Campeonato Carioca,Cabo Frio,casa,5x0,5x0,"Romário (2), Odvan, Viola, P. Miranda",Romário:2; Odvan:1; Viola:1; P. Miranda:1,Abel Braga,Abel Braga,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215399,23/04/2000,Campeonato Carioca,Flamengo-RJ,fora,5x1,5x1,"Romário (3), Felipe, Pedrinho",Romário:3; Felipe:1; Pedrinho:1,Abel Braga,Abel Braga,OK,18:30,18:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215385,27/04/2000,Copa do Brasil,Ponte Preta-SP,casa,1x1,1x1,Romário,Romário:1,Abel Braga,Abel Braga,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215400,30/04/2000,Campeonato Carioca,Madureira-RJ,fora,3x1,3x1,"Pedrinho (2), Viola",Pedrinho:2; Viola:1,Abel Braga,Abel Braga,OK,15:00,15:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215386,03/05/2000,Copa do Brasil,Ponte Preta-SP,fora,1x0,1x0,Gilberto,Gilberto:1,Abel Braga,Abel Braga,OK,21:40,21:40,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215401,06/05/2000,Campeonato Carioca,América,casa,1x2,1x2,Viola,Viola:1,Abel Braga,Abel Braga,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215402,10/05/2000,Campeonato Carioca,Americano-RJ,fora,2x0,2x0,"Romário, Pedrinho",Romário:1; Pedrinho:1,Abel Braga,Abel Braga,OK,20:30,20:30,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215403,13/05/2000,Campeonato Carioca,Olaria-RJ,casa,6x1,6x1,"Romário (2), Gilberto, Viola, Amaral, L. Cláudio (contra)",Romário:2; Gilberto:1; Viola:1; Amaral:1; Gol contra:1,Abel Braga,Abel Braga,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215404,17/05/2000,Campeonato Carioca,Bangu-RJ,fora,4x1,4x1,"Viola (2), Romário, Dedé",Viola:2; Romário:1; Dedé:1,Abel Braga,Abel Braga,OK,21:40,21:40,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
